,filename,id,page,content_x,tag,article_id
0,dark-10747121_part01_page001.jpg,https://datalab.kb.se/dark-10747121#1-1-ARTICLE74742645-ZONE1146013540,1,"Nyheter. DN kan i dag avslöja nya = uppgifter kring SD-riksdagsleda= moten Jonas Millard, vars Flash: back-konto spridit grovt hat mot : kvinnor. Lösenordet till kontot är 1 samma som Millard använt till flera = andra nättjänster - däribland sin I jobbmejl - ett lösenord Millard på5 står sig ha delat med personer som han inte vet vilka de är. Reaktionerna från andra riks- ",1,0
1,dark-10747121_part01_page001.jpg,https://datalab.kb.se/dark-10747121#1-1-ARTICLE74742644-ZONE1146013550,1,Nyheter. Stefan Löfven röstades som väntat ned i fredagens statsministeromgång och därmed har C och L röstat nej till både Moderaternas och Socialdemokraternas statsministerkandidater. Talman Anders Norléns drag att inleda samtal med Valmyndigheten örn ett eventuellt extraval ökar nu pressen på partiledarna.,1,1
2,dark-10747121_part01_page001.jpg,https://datalab.kb.se/dark-10747121#1-1-ARTICLE74742644-ZONE1146013553,1,Gunnar Jonsson: Fredssamtalen om Jernen gav bräckliga resultat. Örn kongressen i USA nu kan bidra till att blodbadet upphör vore det en välgärning.,1,2
3,dark-10747121_part01_page001.jpg,https://datalab.kb.se/dark-10747121#1-1-ARTICLE74742646-ZONE1146013569,1,"Ekonomi. Kraftiga nedskärningar väntar nästa år för Arbetsförmedlingen, säger generaldirektör Mikael Sjöberg i en DN-intervju. Orsaken är den nya M-KD-budgeten. -Jag är inte säker på att Moderaterna och Kristdemokraterna insett konsekvenserna. Det är ett svårt jobb att skriva en budget. Och de har inte varit i kontakt med oss för att pröva sina tankar. Sidan 22 ",1,3
4,dark-10747121_part01_page001.jpg,https://datalab.kb.se/dark-10747121#1-1-ARTICLE74742647-ZONE1146013572,1,"Motor. Det är stora skillnader i utsläpp av växthusgaser mellan olika drivmedel. Diesel är betydligt bättre än klimatvärstingen bensin -särskilt den helt fömybara dieseln HV0100, som består av hydrerade animaliska fetter och vegetabiliska oljor. Tillgången till hållbara råvaror för biodrivmedel är dock mycket begränsad. Sidorna 30-31 ",1,4
29,dark-10747121_part01_page001.jpg,https://datalab.kb.se/dark-10747121#1-1-ARTICLE74742645-ZONE1146013542,1,"dagspolitiker är hårda efter DN:s avslöjande: -Det visar att bakom alla dessa trollkonton vi ser i sociala medier så finns det makthavare, säger Centerledaren Annie Lööf. -Det är något Jimmie Åkesson bör begrunda och ta ansvar för. V-ledaren Jonas Sjöstedt säger sig inte vara förvånad över uppgifterna att det är på en sverigedemokrats ",1,0
30,dark-10747121_part01_page001.jpg,https://datalab.kb.se/dark-10747121#1-1-ARTICLE74742645-ZONE1146013546,1,"konto som grovt kvinnofömedrande inlägg publicerats: - Det är ju ett kvinnohat som är sjukt och gränslöst. Och de har ju väldig otur, Sverigedemokraterna, att det alltid är någon som går in på deras konton och uttalar sig - någon annan än de själva. SD:s gruppledare Mattias Karlsson vill ”inte spekulera utan att ha satt sig in”. Sidorna 6-7 ",1,0
478,dark-10747121_part01_page002.jpg,https://datalab.kb.se/dark-10747121#1-2-ARTICLE74742650-ZONE1146013797,2,"Att prioritera klimatet före allt annat kan ju låta sympatiskt. Det är det inte. Örn Holmgren fick vad han bad örn, och demokratin skrotades, vad skulle ske? Skulle stora grupper människor deporteras till platser där deras existens var mindre skadlig? Skulle kvinnor som fött för många barn tvingas till abort? Skulle despoterna fördela ut precis så lite mat som klimatet krävde? Låsa in människor som försökte röra sig fritt? Kanske skulle rent av klimatet må bäst av att snabbt göra sig av med en stor del av världens befolkning? Den våta klimatdiktaturdrömmen skulle göra människor precis lika ofria, instängda och på godtyckliga grunder nedtryckta som i andra diktaturer. Ser man inte problemet i detta är man inte bara en usel förespråkare för miljörörelsen. Då har man ingenting i ett demokratiskt parlament att göra. ",1,5
477,dark-10747121_part01_page002.jpg,https://datalab.kb.se/dark-10747121#1-2-ARTICLE74742650-ZONE1146013791,2,"Biträdande politisk redaktör amanda.sokolnicki@dn.se Nyligen skrev filosofen Torbjörn Tännsjö en text som kort och gott gick ut på att det är dags för diktatur (DN 28/11). Han talar örn att ”genom en kupp” (revolution låter väl lite för provokativt) skapa en ”global despoti” - allt för klimatets bästa. Eftersom tiden är knapp har vi inte tid med demokrati, resonerar han. ”Intressant”, tyckte meteorologen Pär Holmgren, som delade texten på Twitter och berömde Tännsjö för att våga tänka utanför boxen. Det är inte första gången Holmgren lyfter frågan. Tidskriften Neo uppmärksammade redan 2009 att han skulle ge råd till den dåvarande miljöministern. Då berättade meteorologen att örn han skulle bli statsminister skulle han ”snabbt avskaffa alla val”, eftersom klimatkrisen är lika svårhanterlig som ett tredje världskrig. ”Och då, örn man hårdrar det lite då, så har vi liksom inte tid att hålla på och käbbla mellan partierna till exempel.” Detta är mannen som Miljöpartiet har presenterat som toppnamn tillsammans med Alice Bah Kuhnke inför EU-parlamentsvalet. ",1,5
475,dark-10747121_part01_page002.jpg,https://datalab.kb.se/dark-10747121#1-2-ARTICLE74742651-ZONE1146013776,2,"Det understryker också hur märklig idén är örn att C och L ska släppa fram en M-regering för att sedan gå i opposition. Mittenpartierna avsäger sig i så fall all egen makt och placerar samtidigt Kristersson stadigt i Åkessons knä. Annie Lööf och Jan Björklund lovade väljarna att inte ge SD något inflytande. De förtjänar respekt för att de har hållit löftet hela hösten. Det finns inga skäl att svika det nu. Nej, givet valresultatet och att de två statsbärande partierna vägrar att ta gemensamt ansvar finns i praktiken bara två alternativ. Socialdemokraterna kan acceptera Centerns och Liberalernas krav på reformer. Eller så tvingas Sverige till ett nyval. Förra helgens förhandlingar bekräftar svårigheterna med att få till en uppgörelse mellan S, C och L. Det är inte roligt för Stefan Löfven att svälja Annie Lööfs och Jan Björklunds liberala politik. Och det är inte lätt för Centern ",1,6
474,dark-10747121_part01_page002.jpg,https://datalab.kb.se/dark-10747121#1-2-ARTICLE74742651-ZONE1146013774,2,"ren stöddes av KD och SD, medan S, V och MP röstade för övergångsregeringens förslag. C och L lade ner sina röster. Kristersson kan alltså få igenom sin politik utan Annie Lööfs eller Jan Björklunds stöd. Jimmie Åkessons mandat är dock på samma gång både nödvändiga och tillräckliga. Det är en gyllene sits för SD-ledaren. ",1,6
464,dark-10747121_part01_page002.jpg,https://datalab.kb.se/dark-10747121#1-2-ARTICLE74742653-ZONE1146013802,2,"Punkten efter Dagens Nyheter har funnits med allt sedan det första numret den 23 december 1864. Grundaren Rudolf Wall lär ha satt dit den med tanken att Dagens Nyheter inte bara är ett namn, utan också en avslutad mening, ett konstaterande av vad som hänt. Därför sätter vi punkt även i vår tid. ",1,7
469,dark-10747121_part01_page002.jpg,https://datalab.kb.se/dark-10747121#1-2-ARTICLE74742653-ZONE1146013803,2,Chefredaktör och ansvarig utgivare Peter Wolodarski Vd Anders Eriksson Redaktionschef Caspar Opitz Administrativ redaktionschef Fredrik Björnsson Utrikeschef Pia Skagermark Kulturchef Björn Wiman Biträdande kulturchef Åsa Beckman Politisk redaktör Per Svensson Redaktionell utvecklingschef Martin Jönsson Chef DN.se Anna Åberg,1,7
479,dark-10747121_part01_page002.jpg,https://datalab.kb.se/dark-10747121#1-2-ARTICLE74742652-ZONE1146013770,2,I måndags meddelade Annie Lööf att resultatet av förhandlingarna med Socialdemokraterna inte var tillräckligt bra för att Centerpartiet skulle,1,6
462,dark-10747121_part01_page002.jpg,https://datalab.kb.se/dark-10747121#1-2-ARTICLE74742653-ZONE1146013805,2,"dn.se/prenumerera Personlig service 08-738 26 00 Mån-fre 08-17, lör-sön stängt dn.se/kundservice Anmäl utebliven tidning, gör tillfällig adressändring och uppehåll. Chatta med digital support mån-fre 08-18, lör-sön 09-13. Aktivera din digitala prenumeration ",1,7
